date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:18	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2010:18:36%20GMT	http://www.educationboardresults.gov.bd/robots.txt		(from )
17:43:18	17251/17251	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2010:18:36%20GMT	http://www.educationboardresults.gov.bd/	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/index.html	(from )
17:43:19	7570/7570	---MCZ	200	added ('OK')	text/css	etag:W/%22686e47a6-1d92%22	http://www.educationboardresults.gov.bd/css/skeleton.css	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/css/skeleton.css	(from http://www.educationboardresults.gov.bd/)
17:43:19	4898/4898	---MCZ	200	added ('OK')	text/css	etag:W/%22686e522f-1322%22	http://www.educationboardresults.gov.bd/lib/style.css	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/lib/style.css	(from http://www.educationboardresults.gov.bd/)
17:43:19	43/43	---M--	200	added ('OK')	image/gif	etag:%22686e522e-2b%22	http://www.educationboardresults.gov.bd//images/trans.gif	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/images/trans.gif	(from http://www.educationboardresults.gov.bd/)
17:43:20	16868/16868	---M--	200	added ('OK')	image/png	etag:%22686e47a6-41e4%22	http://www.educationboardresults.gov.bd//images/bd_logo.png	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/images/bd_logo.png	(from http://www.educationboardresults.gov.bd/)
17:43:20	5070/5070	---M--	200	added ('OK')	image/png	etag:%22686e522e-13ce%22	http://www.educationboardresults.gov.bd//images/tbl_logo.png	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/images/tbl_logo.png	(from http://www.educationboardresults.gov.bd/)
17:43:21	2312/2312	---MCZ	200	added ('OK')	application/javascript	etag:W/%22686e51b5-908%22	http://www.educationboardresults.gov.bd//lib/results.js?v=1	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/lib/results3860.js	(from http://www.educationboardresults.gov.bd/)
17:43:21	14764/14764	---MCZ	200	added ('OK')	application/javascript	etag:W/%22686e47a7-39ac%22	http://www.educationboardresults.gov.bd//scripts/printThis.js?v=2	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/scripts/printThis5e1f.js	(from http://www.educationboardresults.gov.bd/)
17:43:21	337/337	---M--	200	added ('OK')	image/jpeg	etag:%22686f5e54-151%22	http://www.educationboardresults.gov.bd/images/bar_bk.jpg	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/images/bar_bk.jpg	(from http://www.educationboardresults.gov.bd/lib/style.css)
17:43:21	76/76	---M--	200	added ('OK')	image/gif	etag:%22686e47a6-4c%22	http://www.educationboardresults.gov.bd/images/left_round.gif	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/images/left_round.gif	(from http://www.educationboardresults.gov.bd/lib/style.css)
17:43:21	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22686e522f-1538f%22	http://www.educationboardresults.gov.bd//scripts/jquery.min.js?v=3	C:/My%20Web%20Sites/2/www.educationboardresults.gov.bd/scripts/jquery.min30f4.js	(from http://www.educationboardresults.gov.bd/)
